fecha_operacion,fecha_valor,hoja,moneda,pais,bs_por_moneda_compra,bs_por_moneda_venta,publicado_en,archivo_fuente,url_fuente
2023-11-15,2023-11-16,15112023,USD,E.U.A.,35.322273,35.4108,2023-11-15 16:39:00,2_1_2d23_smc.xls,https://www.bcv.org.ve/sites/default/files/EstadisticasGeneral/2_1_2d23_smc.xls
2023-11-16,2023-11-17,16112023,EUR,Zona Euro,38.47104443,38.56746308,2023-11-16 16:10:00,2_1_2d23_smc.xls,https://www.bcv.org.ve/sites/default/files/EstadisticasGeneral/2_1_2d23_smc.xls
2023-11-16,2023-11-17,16112023,USD,E.U.A.,35.3412255,35.4298,2023-11-16 16:10:00,2_1_2d23_smc.xls,https://www.bcv.org.ve/sites/default/files/EstadisticasGeneral/2_1_2d23_smc.xls
2023-11-17,2023-11-20,17112023,EUR,Zona Euro,38.54567711,38.64228282,2023-11-17 16:10:00,2_1_2d23_smc.xls,https://www.bcv.org.ve/sites/default/files/EstadisticasGeneral/2_1_2d23_smc.xls
2023-11-17,2023-11-20,17112023,USD,E.U.A.,35.389305,35.478,2023-11-17 16:10:00,2_1_2d23_smc.xls,https://www.bcv.org.ve/sites/default/files/EstadisticasGeneral/2_1_2d23_smc.xls
2023-11-20,2023-11-21,20112023,EUR,Zona Euro,38.66108366,38.7579786,2023-11-20 16:10:00,2_1_2d23_smc.xls,https://www.bcv.org.ve/sites/default/files/EstadisticasGeneral/2_1_2d23_smc.xls
2023-11-20,2023-11-21,20112023,USD,E.U.A.,35.36247225,35.4511,2023-11-20 16:10:00,2_1_2d23_smc.xls,https://www.bcv.org.ve/sites/default/files/EstadisticasGeneral/2_1_2d23_smc.xls
2023-11-21,2023-11-22,21112023,EUR,Zona Euro,38.66379734,38.76069909,2023-11-21 16:10:00,2_1_2d23_smc.xls,https://www.bcv.org.ve/sites/default/files/EstadisticasGeneral/2_1_2d23_smc.xls
2023-11-21,2023-11-22,21112023,USD,E.U.A.,35.3300535,35.4186,2023-11-21 16:10:00,2_1_2d23_smc.xls,https://www.bcv.org.ve/sites/default/files/EstadisticasGeneral/2_1_2d23_smc.xls
2023-11-22,2023-11-23,22112023,EUR,Zona Euro,38.34836821,38.44447941,2023-11-22 16:10:00,2_1_2d23_smc.xls,https://www.bcv.org.ve/sites/default/files/EstadisticasGeneral/2_1_2d23_smc.xls
2023-11-22,2023-11-23,22112023,USD,E.U.A.,35.303121,35.3916,2023-11-22 16:10:00,2_1_2d23_smc.xls,https://www.bcv.org.ve/sites/default/files/EstadisticasGeneral/2_1_2d23_smc.xls
2023-11-23,2023-11-24,23112023,EUR,Zona Euro,38.61495323,38.71173256,2023-11-23 16:10:00,2_1_2d23_smc.xls,https://www.bcv.org.ve/sites/default/files/EstadisticasGeneral/2_1_2d23_smc.xls
2023-11-23,2023-11-24,23112023,USD,E.U.A.,35.3966865,35.4854,2023-11-23 16:10:00,2_1_2d23_smc.xls,https://www.bcv.org.ve/sites/default/files/EstadisticasGeneral/2_1_2d23_smc.xls
2023-11-24,2023-11-27,24112023,EUR,Zona Euro,38.73334582,38.83042187,2023-11-24 16:10:00,2_1_2d23_smc.xls,https://www.bcv.org.ve/sites/default/files/EstadisticasGeneral/2_1_2d23_smc.xls
2023-11-24,2023-11-27,24112023,USD,E.U.A.,35.41334475,35.5021,2023-11-24 16:10:00,2_1_2d23_smc.xls,https://www.bcv.org.ve/sites/default/files/EstadisticasGeneral/2_1_2d23_smc.xls
2023-11-27,2023-11-28,27112023,EUR,Zona Euro,38.69141296,38.78838392,2023-11-27 16:10:00,2_1_2d23_smc.xls,https://www.bcv.org.ve/sites/default/files/EstadisticasGeneral/2_1_2d23_smc.xls
2023-11-27,2023-11-28,27112023,USD,E.U.A.,35.382123,35.4708,2023-11-27 16:10:00,2_1_2d23_smc.xls,https://www.bcv.org.ve/sites/default/files/EstadisticasGeneral/2_1_2d23_smc.xls
2023-11-28,2023-11-29,28112023,EUR,Zona Euro,38.82285918,38.92015958,2023-11-28 15:17:00,2_1_2d23_smc.xls,https://www.bcv.org.ve/sites/default/files/EstadisticasGeneral/2_1_2d23_smc.xls
2023-11-28,2023-11-29,28112023,USD,E.U.A.,35.389704,35.4784,2023-11-28 15:17:00,2_1_2d23_smc.xls,https://www.bcv.org.ve/sites/default/files/EstadisticasGeneral/2_1_2d23_smc.xls
2023-11-29,2023-11-30,29112023,EUR,Zona Euro,38.82495016,38.9222558,2023-11-29 15:29:00,2_1_2d23_smc.xls,https://www.bcv.org.ve/sites/default/files/EstadisticasGeneral/2_1_2d23_smc.xls
2023-11-29,2023-11-30,29112023,USD,E.U.A.,35.40516525,35.4939,2023-11-29 15:29:00,2_1_2d23_smc.xls,https://www.bcv.org.ve/sites/default/files/EstadisticasGeneral/2_1_2d23_smc.xls
2023-11-30,2023-12-01,30112023,EUR,Zona Euro,38.65855741,38.75544603,2023-11-30 15:57:00,2_1_2d23_smc.xls,https://www.bcv.org.ve/sites/default/files/EstadisticasGeneral/2_1_2d23_smc.xls
2023-11-30,2023-12-01,30112023,USD,E.U.A.,35.42431725,35.5131,2023-11-30 15:57:00,2_1_2d23_smc.xls,https://www.bcv.org.ve/sites/default/files/EstadisticasGeneral/2_1_2d23_smc.xls
2023-12-01,2023-12-04,01122023,EUR,Zona Euro,38.50453454,38.60103713,2023-12-01 16:21:00,2_1_2d23_smc.xls,https://www.bcv.org.ve/sites/default/files/EstadisticasGeneral/2_1_2d23_smc.xls
2023-12-01,2023-12-04,01122023,USD,E.U.A.,35.4916485,35.5806,2023-12-01 16:21:00,2_1_2d23_smc.xls,https://www.bcv.org.ve/sites/default/files/EstadisticasGeneral/2_1_2d23_smc.xls
2023-12-04,2023-12-05,04122023,EUR,Zona Euro,38.34418684,38.44028756,2023-12-04 15:19:00,2_1_2d23_smc.xls,https://www.bcv.org.ve/sites/default/files/EstadisticasGeneral/2_1_2d23_smc.xls
2023-12-04,2023-12-05,04122023,USD,E.U.A.,35.433993,35.5228,2023-12-04 15:19:00,2_1_2d23_smc.xls,https://www.bcv.org.ve/sites/default/files/EstadisticasGeneral/2_1_2d23_smc.xls
2023-12-05,2023-12-06,05122023,EUR,Zona Euro,38.37841981,38.47460633,2023-12-05 15:48:00,2_1_2d23_smc.xls,https://www.bcv.org.ve/sites/default/files/EstadisticasGeneral/2_1_2d23_smc.xls
2023-12-05,2023-12-06,05122023,USD,E.U.A.,35.4689055,35.5578,2023-12-05 15:48:00,2_1_2d23_smc.xls,https://www.bcv.org.ve/sites/default/files/EstadisticasGeneral/2_1_2d23_smc.xls
2023-12-06,2023-12-07,06122023,EUR,Zona Euro,38.33807141,38.4341568,2023-12-06 15:25:00,2_1_2d23_smc.xls,https://www.bcv.org.ve/sites/default/files/EstadisticasGeneral/2_1_2d23_smc.xls
2023-12-06,2023-12-07,06122023,USD,E.U.A.,35.5084065,35.5974,2023-12-06 15:25:00,2_1_2d23_smc.xls,https://www.bcv.org.ve/sites/default/files/EstadisticasGeneral/2_1_2d23_smc.xls
2023-12-07,2023-12-08,07122023,EUR,Zona Euro,38.29948456,38.39547324,2023-12-07 15:15:00,2_1_2d23_smc.xls,https://www.bcv.org.ve/sites/default/files/EstadisticasGeneral/2_1_2d23_smc.xls
2023-12-07,2023-12-08,07122023,USD,E.U.A.,35.5127955,35.6018,2023-12-07 15:15:00,2_1_2d23_smc.xls,https://www.bcv.org.ve/sites/default/files/EstadisticasGeneral/2_1_2d23_smc.xls
2023-12-08,2023-12-12,08122023,EUR,Zona Euro,38.31001306,38.40602813,2023-12-08 15:11:00,2_1_2d23_smc.xls,https://www.bcv.org.ve/sites/default/files/EstadisticasGeneral/2_1_2d23_smc.xls
2023-12-08,2023-12-12,08122023,USD,E.U.A.,35.535738,35.6248,2023-12-08 15:11:00,2_1_2d23_smc.xls,https://www.bcv.org.ve/sites/default/files/EstadisticasGeneral/2_1_2d23_smc.xls
2023-12-12,2023-12-13,12122023,EUR,Zona Euro,38.27637284,38.3723036,2023-12-12 15:25:00,2_1_2d23_smc.xls,https://www.bcv.org.ve/sites/default/files/EstadisticasGeneral/2_1_2d23_smc.xls
2023-12-12,2023-12-13,12122023,USD,E.U.A.,35.483469,35.5724,2023-12-12 15:25:00,2_1_2d23_smc.xls,https://www.bcv.org.ve/sites/default/files/EstadisticasGeneral/2_1_2d23_smc.xls
2023-12-13,2023-12-14,13122023,EUR,Zona Euro,38.33710532,38.43318829,2023-12-13 15:46:00,2_1_2d23_smc.xls,https://www.bcv.org.ve/sites/default/files/EstadisticasGeneral/2_1_2d23_smc.xls
2023-12-13,2023-12-14,13122023,USD,E.U.A.,35.5371345,35.6262,2023-12-13 15:46:00,2_1_2d23_smc.xls,https://www.bcv.org.ve/sites/default/files/EstadisticasGeneral/2_1_2d23_smc.xls
2023-12-14,2023-12-15,14122023,EUR,Zona Euro,39.06223568,39.16013602,2023-12-14 15:24:00,2_1_2d23_smc.xls,https://www.bcv.org.ve/sites/default/files/EstadisticasGeneral/2_1_2d23_smc.xls
2023-12-14,2023-12-15,14122023,USD,E.U.A.,35.55119925,35.6403,2023-12-14 15:24:00,2_1_2d23_smc.xls,https://www.bcv.org.ve/sites/default/files/EstadisticasGeneral/2_1_2d23_smc.xls
2023-12-15,2023-12-18,15122023,EUR,Zona Euro,38.91134949,39.00887167,2023-12-15 15:14:00,2_1_2d23_smc.xls,https://www.bcv.org.ve/sites/default/files/EstadisticasGeneral/2_1_2d23_smc.xls
2023-12-15,2023-12-18,15122023,USD,E.U.A.,35.63538825,35.7247,2023-12-15 15:14:00,2_1_2d23_smc.xls,https://www.bcv.org.ve/sites/default/files/EstadisticasGeneral/2_1_2d23_smc.xls
2023-12-18,2023-12-19,18122023,EUR,Zona Euro,38.84750203,38.9448642,2023-12-18 15:36:00,2_1_2d23_smc.xls,https://www.bcv.org.ve/sites/default/files/EstadisticasGeneral/2_1_2d23_smc.xls
2023-12-18,2023-12-19,18122023,USD,E.U.A.,35.564865,35.654,2023-12-18 15:36:00,2_1_2d23_smc.xls,https://www.bcv.org.ve/sites/default/files/EstadisticasGeneral/2_1_2d23_smc.xls
2023-12-19,2023-12-20,19122023,EUR,Zona Euro,39.11127674,39.20929999,2023-12-19 15:37:00,2_1_2d23_smc.xls,https://www.bcv.org.ve/sites/default/files/EstadisticasGeneral/2_1_2d23_smc.xls
2023-12-19,2023-12-20,19122023,USD,E.U.A.,35.626311,35.7156,2023-12-19 15:37:00,2_1_2d23_smc.xls,https://www.bcv.org.ve/sites/default/files/EstadisticasGeneral/2_1_2d23_smc.xls
2023-12-20,2023-12-21,20122023,EUR,Zona Euro,39.09394973,39.19192956,2023-12-20 15:54:00,2_1_2d23_smc.xls,https://www.bcv.org.ve/sites/default/files/EstadisticasGeneral/2_1_2d23_smc.xls
2023-12-20,2023-12-21,20122023,USD,E.U.A.,35.64267,35.732,2023-12-20 15:54:00,2_1_2d23_smc.xls,https://www.bcv.org.ve/sites/default/files/EstadisticasGeneral/2_1_2d23_smc.xls
2023-12-21,2023-12-22,21122023,EUR,Zona Euro,39.22060338,39.31890063,2023-12-21 15:24:00,2_1_2d23_smc.xls,https://www.bcv.org.ve/sites/default/files/EstadisticasGeneral/2_1_2d23_smc.xls
2023-12-21,2023-12-22,21122023,USD,E.U.A.,35.6979315,35.7874,2023-12-21 15:24:00,2_1_2d23_smc.xls,https://www.bcv.org.ve/sites/default/files/EstadisticasGeneral/2_1_2d23_smc.xls
